# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    9.97e+01  3.36e+01    7.18e+00  7.31e+00    3.15e+00  1.05e+00    1.0e-03
    500    7.31e+01  1.22e+01    4.12e+00  4.07e+00    2.31e+00  3.78e-01    1.0e-03
   1000    6.73e+01  2.49e+01    3.98e+00  3.95e+00    2.13e+00  7.83e-01    1.0e-03
   1500    7.14e+01  2.32e+01    2.56e+00  2.50e+00    2.26e+00  7.34e-01    1.0e-03
   2000    5.99e+01  2.79e+01    2.14e+00  2.15e+00    1.89e+00  8.81e-01    1.0e-03
   2500    7.49e+01  5.70e+01    1.25e+00  1.27e+00    2.37e+00  1.80e+00    1.0e-03
   3000    4.59e+01  1.99e+01    6.85e-01  6.38e-01    1.45e+00  6.28e-01    1.0e-03
   3500    4.52e+01  2.16e+02    1.72e-01  2.28e-01    1.43e+00  6.84e+00    1.0e-03
   4000    4.31e+01  1.63e+01    7.59e-02  1.70e-02    1.36e+00  5.16e-01    1.0e-03
   4500    4.49e+01  1.45e+01    2.37e-01  2.19e-01    1.42e+00  4.58e-01    1.0e-03
   5000    3.34e+00  8.02e-01    1.44e-01  5.92e-02    1.25e+00  2.88e-01    5.9e-06
   5500    3.32e+00  9.66e-01    1.30e-01  4.22e-02    1.24e+00  3.60e-01    5.9e-06
   6000    3.29e+00  8.51e-01    1.19e-01  4.56e-02    1.23e+00  3.14e-01    5.9e-06
   6500    3.25e+00  8.98e-01    1.09e-01  2.35e-02    1.22e+00  3.39e-01    5.9e-06
   7000    3.21e+00  8.20e-01    9.87e-02  1.58e-02    1.21e+00  3.10e-01    5.9e-06
   7500    3.15e+00  7.57e+00    8.86e-02  1.67e-01    1.19e+00  2.86e+00    5.9e-06
   8000    3.09e+00  1.50e+00    7.98e-02  7.05e-02    1.17e+00  5.58e-01    5.9e-06
   8500    3.02e+00  4.69e+00    7.26e-02  9.94e-02    1.14e+00  1.78e+00    5.9e-06
   9000    2.93e+00  1.11e+00    6.71e-02  5.63e-03    1.11e+00  4.21e-01    5.9e-06
   9500    2.83e+00  2.84e+00    6.37e-02  6.23e-02    1.07e+00  1.08e+00    5.9e-06
  10000    1.09e+00  3.39e-01    6.18e-02  1.57e-02    1.03e+00  3.26e-01    3.5e-08
