# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.07e+02  3.40e+01    9.19e+00  9.36e+00    3.38e+00  1.06e+00    1.0e-03
    500    7.62e+01  2.35e+01    8.54e+00  8.45e+00    2.40e+00  7.23e-01    1.0e-03
   1000    7.23e+01  1.34e+01    7.40e+00  7.49e+00    2.28e+00  3.96e-01    1.0e-03
   1500    5.66e+01  1.07e+01    5.49e+00  5.42e+00    1.79e+00  3.22e-01    1.0e-03
   2000    5.35e+01  1.34e+01    2.69e+00  2.69e+00    1.69e+00  4.21e-01    1.0e-03
   2500    6.23e+01  7.38e+01    2.15e+00  2.17e+00    1.97e+00  2.33e+00    1.0e-03
   3000    4.03e+01  9.64e+00    9.80e-01  9.52e-01    1.28e+00  3.04e-01    1.0e-03
   3500    4.80e+01  2.09e+02    7.47e-01  7.43e-01    1.52e+00  6.61e+00    1.0e-03
   4000    4.12e+01  1.44e+01    6.92e-02  1.69e-02    1.30e+00  4.56e-01    1.0e-03
   4500    4.07e+01  9.99e+00    5.18e-01  5.03e-01    1.29e+00  3.16e-01    1.0e-03
   5000    3.55e+00  2.08e+00    4.42e-01  4.38e-01    1.12e+00  2.73e-01    5.9e-06
   5500    3.35e+00  1.51e+00    3.57e-01  3.26e-01    1.12e+00  1.62e-01    5.9e-06
   6000    3.22e+00  1.44e+00    2.91e-01  2.85e-01    1.12e+00  2.52e-01    5.9e-06
   6500    3.12e+00  1.35e+00    2.31e-01  2.14e-01    1.12e+00  3.65e-01    5.9e-06
   7000    3.04e+00  1.05e+00    1.77e-01  1.53e-01    1.12e+00  3.03e-01    5.9e-06
   7500    2.98e+00  4.51e+00    1.29e-01  1.68e-01    1.11e+00  1.69e+00    5.9e-06
   8000    2.94e+00  1.27e+00    8.94e-02  7.49e-02    1.11e+00  4.64e-01    5.9e-06
   8500    2.91e+00  1.69e+00    6.15e-02  7.48e-02    1.10e+00  6.29e-01    5.9e-06
   9000    2.89e+00  1.29e+00    4.51e-02  3.70e-02    1.09e+00  4.85e-01    5.9e-06
   9500    2.86e+00  1.90e+00    3.86e-02  5.53e-02    1.09e+00  7.18e-01    5.9e-06
  10000    1.11e+00  3.93e-01    3.72e-02  8.25e-03    1.08e+00  3.84e-01    3.5e-08
