# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.27e+09  2.18e+02    3.94e+05  2.22e+02    7.17e+07  5.25e+00    1.0e-03
    500    2.27e+09  2.76e+05    3.94e+05  9.21e+01    7.17e+07  8.74e+03    1.0e-03
   1000    2.27e+09  2.20e+02    3.94e+05  2.03e+02    7.17e+07  5.65e+00    1.0e-03
   1500    2.27e+09  9.84e+03    3.94e+05  1.96e+02    7.17e+07  3.11e+02    1.0e-03
   2000    2.27e+09  1.03e+03    3.94e+05  2.00e+02    7.17e+07  3.24e+01    1.0e-03
   2500    2.27e+09  7.22e+02    3.94e+05  2.12e+02    7.17e+07  2.24e+01    1.0e-03
   3000    2.27e+09  6.86e+02    3.94e+05  2.12e+02    7.17e+07  2.13e+01    1.0e-03
   3500    2.27e+09  2.05e+08    3.94e+05  5.20e+04    7.17e+07  6.47e+06    1.0e-03
   4000    2.27e+09  3.33e+02    3.94e+05  2.03e+02    7.17e+07  9.73e+00    1.0e-03
   4500    2.27e+09  9.85e+07    3.94e+05  2.64e+04    7.17e+07  3.12e+06    1.0e-03
   5000    1.88e+08  8.94e+02    3.94e+05  2.00e+02    7.17e+07  1.02e+01    5.9e-06
   5500    1.88e+08  9.03e+02    3.94e+05  2.02e+02    7.17e+07  2.13e+01    5.9e-06
   6000    1.88e+08  8.93e+02    3.94e+05  2.00e+02    7.17e+07  1.91e+00    5.9e-06
   6500    1.88e+08  1.54e+04    3.94e+05  1.23e+02    7.17e+07  5.85e+03    5.9e-06
   7000    1.88e+08  2.35e+06    3.94e+05  8.18e+03    7.17e+07  8.94e+05    5.9e-06
   7500    1.88e+08  9.24e+02    3.94e+05  2.01e+02    7.17e+07  8.84e+01    5.9e-06
   8000    1.88e+08  9.10e+02    3.94e+05  2.01e+02    7.17e+07  5.99e+01    5.9e-06
   8500    1.88e+08  8.99e+02    3.94e+05  2.02e+02    7.17e+07  6.68e+00    5.9e-06
   9000    1.88e+08  8.98e+02    3.94e+05  2.01e+02    7.17e+07  1.97e+01    5.9e-06
   9500    1.88e+08  1.99e+03    3.94e+05  1.91e+02    7.17e+07  6.82e+02    5.9e-06
  10000    7.29e+07  5.50e+04    3.94e+05  4.22e+02    7.17e+07  5.40e+04    3.5e-08
